time/s	Ewe/V	<I>/mA	cycle number
2.164054945331372E+003	-7.5346130E-001	-6.685326202038198E-001	2.000000000000000E+000
2.164121545329690E+003	-7.5321698E-001	-6.686265283120729E-001	2.000000000000000E+000
2.164188345328002E+003	-7.5301844E-001	-6.680484428463211E-001	2.000000000000000E+000
2.164254945326320E+003	-7.5265193E-001	-6.676367573507607E-001	2.000000000000000E+000
2.164321545324638E+003	-7.5230831E-001	-6.671541198142714E-001	2.000000000000000E+000
2.164388145322955E+003	-7.5185019E-001	-6.666706307056813E-001	2.000000000000000E+000
2.164454945321268E+003	-7.5146079E-001	-6.661788765565464E-001	2.000000000000000E+000
2.164521545319585E+003	-7.5121647E-001	-6.654475961567052E-001	2.000000000000000E+000
2.164588145317903E+003	-7.5087667E-001	-6.647980310405490E-001	2.000000000000000E+000
2.164654945316215E+003	-7.5041473E-001	-6.645888754402298E-001	2.000000000000000E+000
2.164721545314533E+003	-7.4997568E-001	-6.646522922818394E-001	2.000000000000000E+000
2.164788145312850E+003	-7.4956334E-001	-6.643667410147529E-001	2.000000000000000E+000
2.164854945311163E+003	-7.4938387E-001	-6.640621883323403E-001	2.000000000000000E+000
2.164921545309480E+003	-7.4917388E-001	-6.640601629937164E-001	2.000000000000000E+000
2.164988145307798E+003	-7.4875396E-001	-6.642879208049028E-001	2.000000000000000E+000
2.165054945306110E+003	-7.4844855E-001	-6.639865060527641E-001	2.000000000000000E+000
2.165121545304428E+003	-7.4824625E-001	-6.633392700255820E-001	2.000000000000000E+000
2.165188145302745E+003	-7.4787205E-001	-6.629714526438644E-001	2.000000000000000E+000
2.165254945301058E+003	-7.4738723E-001	-6.623647636677852E-001	2.000000000000000E+000
2.165321545299375E+003	-7.4705511E-001	-6.618582417237437E-001	2.000000000000000E+000
2.165388145297693E+003	-7.4675345E-001	-6.613520778197906E-001	2.000000000000000E+000
2.165454745296011E+003	-7.4642897E-001	-6.608648129100168E-001	2.000000000000000E+000
2.165521545294323E+003	-7.4587536E-001	-6.610339899738151E-001	2.000000000000000E+000
2.165588145292641E+003	-7.4566925E-001	-6.610484153842640E-001	2.000000000000000E+000
2.165654745290958E+003	-7.4548215E-001	-6.608111892582067E-001	2.000000000000000E+000
2.165721545289271E+003	-7.4509656E-001	-6.608326336346488E-001	2.000000000000000E+000
2.165788145287588E+003	-7.4475294E-001	-6.602205832199033E-001	2.000000000000000E+000
2.165854745285906E+003	-7.4453533E-001	-6.589998831561701E-001	2.000000000000000E+000
2.165921545284218E+003	-7.4417639E-001	-6.586194860647954E-001	2.000000000000000E+000
2.165988145282536E+003	-7.4375266E-001	-6.585085195717149E-001	2.000000000000000E+000
2.166054745280853E+003	-7.4335563E-001	-6.579730541324329E-001	2.000000000000000E+000
2.166121545279166E+003	-7.4301583E-001	-6.572929762573123E-001	2.000000000000000E+000
