time/s	Ewe/V	<I>/mA	cycle number
1.259142968191372E+002	-5.7386015E-002	-1.753097686030304E-003	1.000000000000000E+000
1.266809967997688E+002	-6.1221253E-002	-1.865577947449619E-003	1.000000000000000E+000
1.273808967820878E+002	-6.4725012E-002	-1.783622928218095E-003	1.000000000000000E+000
1.281474967627219E+002	-6.8540461E-002	-1.864807055234723E-003	1.000000000000000E+000
1.288141967458796E+002	-7.1837477E-002	-1.908100017257511E-003	1.000000000000000E+000
1.294807967290399E+002	-7.5210467E-002	-1.908195361026353E-003	1.000000000000000E+000
1.301473967122001E+002	-7.8564502E-002	-1.875078572300432E-003	1.000000000000000E+000
1.308139966953604E+002	-8.1897460E-002	-1.878196510666480E-003	1.000000000000000E+000
1.315805966759945E+002	-8.5735373E-002	-1.840315703660035E-003	1.000000000000000E+000
1.323471966566285E+002	-8.9578047E-002	-1.902344054035677E-003	1.000000000000000E+000
1.330805966381013E+002	-9.3220472E-002	-1.986331858257771E-003	1.000000000000000E+000
1.337471966212615E+002	-9.6515760E-002	-1.845635681285500E-003	1.000000000000000E+000
1.345137966018956E+002	-1.0036086E-001	-1.866055588530584E-003	1.000000000000000E+000
1.352803965825296E+002	-1.0417403E-001	-1.953512896612795E-003	1.000000000000000E+000
1.359469965656899E+002	-1.0747262E-001	-1.900089492589921E-003	1.000000000000000E+000
1.366469965480064E+002	-1.1102431E-001	-1.975066801839925E-003	1.000000000000000E+000
1.373469965303229E+002	-1.1455072E-001	-1.969221561444214E-003	1.000000000000000E+000
1.380135965134832E+002	-1.1786283E-001	-1.946365305312461E-003	1.000000000000000E+000
1.386801964966435E+002	-1.2117469E-001	-1.948401743736956E-003	1.000000000000000E+000
1.393467964798037E+002	-1.2455676E-001	-1.925696952480070E-003	1.000000000000000E+000
1.400133964629640E+002	-1.2790358E-001	-1.945787999067590E-003	1.000000000000000E+000
1.406800964461218E+002	-1.3122171E-001	-1.964507602856430E-003	1.000000000000000E+000
1.413466964292820E+002	-1.3453852E-001	-1.963123945316850E-003	1.000000000000000E+000
1.420133964124398E+002	-1.3790962E-001	-2.016899104664426E-003	1.000000000000000E+000
1.427465963939176E+002	-1.4158261E-001	-1.933878189454737E-003	1.000000000000000E+000
1.435132963745491E+002	-1.4539148E-001	-1.971023679216661E-003	1.000000000000000E+000
1.442798963551832E+002	-1.4921446E-001	-1.936139472103762E-003	1.000000000000000E+000
1.451131963341322E+002	-1.5343288E-001	-1.881655932550862E-003	1.000000000000000E+000
1.458797963147663E+002	-1.5722132E-001	-1.943223898297534E-003	1.000000000000000E+000
1.466463962954003E+002	-1.6106911E-001	-1.986761977084237E-003	1.000000000000000E+000
1.474796962743494E+002	-1.6524504E-001	-1.951163780263096E-003	1.000000000000000E+000
1.482462962549835E+002	-1.6900092E-001	-2.035677859880489E-003	1.000000000000000E+000
1.489461962373025E+002	-1.7254098E-001	-2.003708771634791E-003	1.000000000000000E+000
1.496128962204602E+002	-1.7581540E-001	-2.077953698755606E-003	1.000000000000000E+000
1.502794962036205E+002	-1.7919540E-001	-2.089017384868844E-003	1.000000000000000E+000
1.509461961867783E+002	-1.8255150E-001	-2.099029349389311E-003	1.000000000000000E+000
1.516127961699385E+002	-1.8589827E-001	-2.111049273400750E-003	1.000000000000000E+000
1.522793961530988E+002	-1.8918961E-001	-2.125979454757260E-003	1.000000000000000E+000
1.529459961362591E+002	-1.9253530E-001	-2.135314293584979E-003	1.000000000000000E+000
1.536125961194193E+002	-1.9588660E-001	-2.148172374309799E-003	1.000000000000000E+000
1.542791961025796E+002	-1.9920082E-001	-2.162429300377956E-003	1.000000000000000E+000
1.549458960857373E+002	-2.0252919E-001	-2.175597953935157E-003	1.000000000000000E+000
1.556125960688951E+002	-2.0582663E-001	-2.189376184397358E-003	1.000000000000000E+000
1.562791960520553E+002	-2.0923463E-001	-2.209003770735179E-003	1.000000000000000E+000
1.569457960352156E+002	-2.1257460E-001	-2.223090700504513E-003	1.000000000000000E+000
1.576123960183759E+002	-2.1586579E-001	-2.194299859819570E-003	1.000000000000000E+000
1.583790959990074E+002	-2.1971790E-001	-2.191806251702764E-003	1.000000000000000E+000
1.590789959813264E+002	-2.2321315E-001	-2.272631471044399E-003	1.000000000000000E+000
1.597455959644867E+002	-2.2651367E-001	-2.290262094281560E-003	1.000000000000000E+000
1.604121959476470E+002	-2.2988051E-001	-2.288987414234687E-003	1.000000000000000E+000
1.610787959308072E+002	-2.3321347E-001	-2.322689012629817E-003	1.000000000000000E+000
1.618121959122800E+002	-2.3687631E-001	-2.266009010819928E-003	1.000000000000000E+000
1.624787958954403E+002	-2.4022855E-001	-2.355008871179584E-003	1.000000000000000E+000
1.631453958786005E+002	-2.4353382E-001	-2.372586930024408E-003	1.000000000000000E+000
1.638119958617608E+002	-2.4687113E-001	-2.389249550718640E-003	1.000000000000000E+000
1.644785958449211E+002	-2.5014949E-001	-2.407160542670567E-003	1.000000000000000E+000
1.651452958280788E+002	-2.5354049E-001	-2.427223283809891E-003	1.000000000000000E+000
1.658118958112391E+002	-2.5682381E-001	-2.441863966366090E-003	1.000000000000000E+000
1.664785957943968E+002	-2.6015109E-001	-2.454008031379590E-003	1.000000000000000E+000
1.671451957775571E+002	-2.6350462E-001	-2.481251716626795E-003	1.000000000000000E+000
1.678117957607174E+002	-2.6685435E-001	-2.491260935596054E-003	1.000000000000000E+000
1.684783957438776E+002	-2.7020714E-001	-2.519804603875075E-003	1.000000000000000E+000
1.691449957270379E+002	-2.7351943E-001	-2.533788865171402E-003	1.000000000000000E+000
